import time: self [us] | cumulative | imported package
import time:      1870 |       1870 |                   ipaddress
import time:      1022 |       3228 |                 urllib.parse
import time:       829 |       4113 |               pathlib
import time:        65 |         65 |                 binascii
import time:       298 |        298 |                   importlib._abc
import time:        78 |        376 |                 importlib.util
import time:        80 |         80 |                   zlib
import time:       748 |        748 |                     _compression
import time:       412 |        412 |                     _bz2
import time:       466 |       1624 |                   bz2
import time:       405 |        405 |                     _lzma
import time:       448 |        852 |                   lzma
import time:       960 |       3515 |                 shutil
import time:       354 |        354 |                   zipfile._path.glob
import time:       612 |        966 |                 zipfile._path
import time:       984 |       5904 |               zipfile
import time:       735 |        735 |                   quopri
import time:      1122 |       1122 |                       _socket
import time:       408 |        408 |                         select
import time:       738 |       1146 |                       selectors
import time:      1102 |       3369 |                     socket
import time:        56 |         56 |                           _locale
import time:       896 |        951 |                         locale
import time:      1005 |       1956 |                       calendar
import time:       642 |       2597 |                     email._parseaddr
import time:       408 |        408 |                         base64
import time:       343 |        750 |                       email.base64mime
import time:       340 |        340 |                       email.quoprimime
import time:       571 |        571 |                       email.errors
import time:       302 |        302 |                       email.encoders
import time:       505 |       2466 |                     email.charset
import time:       555 |       8986 |                   email.utils
import time:       631 |        631 |                     email.header
import time:       397 |       1028 |                   email._policybase
import time:       498 |        498 |                   email._encoded_words
import time:       372 |        372 |                   email.iterators
import time:       779 |      12395 |                 email.message
import time:       296 |        296 |                   importlib.metadata._functools
import time:       377 |        673 |                 importlib.metadata._text
import time:       463 |      13529 |               importlib.metadata._adapters
import time:       464 |        464 |               importlib.metadata._meta
import time:       554 |        554 |               importlib.metadata._collections
import time:       327 |        327 |               importlib.metadata._itertools
import time:       567 |        567 |                     tempfile
import time:       519 |        519 |                     importlib.resources.abc
import time:       543 |        543 |                     importlib.resources._adapters
import time:       646 |       2272 |                   importlib.resources._common
import time:       462 |        462 |                   importlib.resources._legacy
import time:       298 |       3031 |                 importlib.resources
import time:       464 |       3495 |               importlib.abc
import time:      1193 |      30678 |             importlib.metadata
import time:       250 |      30928 |           pygments.plugin
import time:       662 |        662 |           pygments.util
import time:       490 |      35255 |         pygments.lexers
import time:       451 |        451 |         pygments.token
import time:       365 |        365 |           rich.padding
import time:       474 |        474 |             rich.box
import time:       617 |        617 |                     numbers
import time:       727 |       1343 |                   _decimal
import time:       323 |       1666 |                 decimal
import time:      1068 |       2733 |               fractions
import time:       399 |       3132 |             rich._ratio
import time:      2094 |       5699 |           rich.table
import time:       352 |       6415 |         rich.columns
import time:       565 |        565 |         rich.panel
import time:       350 |        350 |         rich.scope
import time:       317 |        317 |             pygments.filter
import time:       598 |        598 |             pygments.filters
import time:       469 |        469 |             pygments.regexopt
import time:       644 |       2026 |           pygments.lexer
import time:       472 |        472 |           pygments.style
import time:       380 |        380 |             pygments.styles._mapping
import time:       431 |        810 |           pygments.styles
import time:       759 |       4067 |         rich.syntax
import time:      2420 |      49520 |       rich.traceback
import time:      2306 |     107985 |     structlog.dev
import time:       404 |        404 |             concurrent
import time:       800 |        800 |             concurrent.futures._base
import time:       513 |       1716 |           concurrent.futures
import time:        49 |         49 |             _heapq
import time:       445 |        494 |           heapq
import time:       562 |        562 |             signal
import time:       133 |        133 |             fcntl
import time:       723 |       1417 |           subprocess
import time:      1381 |       1381 |             _ssl
import time:      2052 |       3432 |           ssl
import time:       535 |        535 |           asyncio.constants
import time:       323 |        323 |           asyncio.coroutines
import time:       277 |        277 |             asyncio.format_helpers
import time:       413 |        413 |               asyncio.base_futures
import time:       386 |        386 |               asyncio.exceptions
import time:       383 |        383 |               asyncio.base_tasks
import time:       586 |       1766 |             _asyncio
import time:       612 |       2654 |           asyncio.events
import time:       389 |        389 |           asyncio.futures
import time:       308 |        308 |           asyncio.protocols
import time:       457 |        457 |             asyncio.transports
import time:       358 |        358 |             asyncio.log
import time:       879 |       1693 |           asyncio.sslproto
import time:       404 |        404 |               asyncio.mixins
import time:       608 |       1011 |             asyncio.locks
import time:       444 |        444 |               asyncio.timeouts
import time:       542 |        985 |             asyncio.tasks
import time:       413 |       2409 |           asyncio.staggered
import time:       367 |        367 |           asyncio.trsock
import time:      1238 |      16971 |         asyncio.base_events
import time:       435 |        435 |         asyncio.runners
import time:       459 |        459 |         asyncio.queues
import time:       431 |        431 |         asyncio.streams
import time:       436 |        436 |         asyncio.subprocess
import time:       375 |        375 |         asyncio.taskgroups
import time:       304 |        304 |         asyncio.threads
import time:      2895 |       2895 |           _overlapped
import time:       533 |        533 |           asyncio.base_subprocess
import time:       653 |        653 |           asyncio.proactor_events
import time:       709 |        709 |           asyncio.selector_events
import time:       444 |        444 |           asyncio.windows_utils
import time:       823 |       6055 |         asyncio.windows_events
import time:       596 |      26057 |       asyncio
import time:       358 |        358 |           structlog._base
import time:       467 |        825 |         structlog._native
import time:      1105 |       1105 |         structlog._output
import time:       509 |       2438 |       structlog._config
import time:       789 |      29284 |     structlog.stdlib
import time:       577 |        577 |     structlog.testing
import time:       393 |        393 |         _uuid
import time:       662 |       1054 |       uuid
import time:       139 |        139 |         greenlet
import time:       360 |        499 |       structlog._greenlets
import time:       397 |       1950 |     structlog.threadlocal
import time:       238 |        238 |     structlog.types
import time:       294 |        294 |     structlog._generic
import time:       121 |        121 |         twisted
import time:        23 |        144 |       twisted.python
import time:       421 |        565 |     structlog.twisted
import time:       588 |     154896 |   structlog
import time:       379 |        379 |     starlette
import time:       377 |        377 |     starlette.status
import time:       395 |        395 |         annotated_doc.main
import time:       356 |        750 |       annotated_doc
import time:       585 |        585 |             anyio._core
import time:       599 |       1184 |           anyio._core._contextmanagers
import time:       495 |        495 |             anyio._core._exceptions
import time:       316 |        316 |               sniffio._version
import time:       258 |        258 |               sniffio._impl
import time:       443 |       1015 |             sniffio
import time:       363 |       1872 |           anyio._core._eventloop
import time:       500 |        500 |                 anyio.abc._eventloop
import time:       405 |        405 |                 anyio.abc._resources
import time:       317 |        317 |                   anyio._core._typedattr
import time:      1634 |       1634 |                       typing_extensions
import time:       416 |       2050 |                     anyio.abc._tasks
import time:       833 |       2883 |                   anyio.abc._streams
import time:       638 |       3837 |                 anyio.abc._sockets
import time:       570 |        570 |                 anyio.abc._subprocesses
import time:       364 |        364 |                 anyio.abc._testing
import time:       783 |        783 |                   anyio.lowlevel
import time:       449 |        449 |                   anyio._core._tasks
import time:       336 |        336 |                   anyio._core._testing
import time:      2271 |       3838 |                 anyio._core._synchronization
import time:       907 |        907 |                 anyio.from_thread
import time:       427 |      10845 |               anyio.abc
import time:       304 |      11148 |             anyio.to_thread
import time:       871 |      12018 |           anyio._core._fileio
import time:       332 |        332 |           anyio._core._resources
import time:       372 |        372 |           anyio._core._signals
import time:       330 |        330 |               anyio.streams
import time:       942 |       1271 |             anyio.streams.stapled
import time:       939 |        939 |             anyio.streams.tls
import time:       880 |       3090 |           anyio._core._sockets
import time:      1801 |       1801 |             anyio.streams.memory
import time:       410 |       2211 |           anyio._core._streams
import time:       445 |        445 |           anyio._core._subprocesses
import time:       560 |        560 |           anyio._core._tempfile
import time:      1161 |      23241 |         anyio
import time:       644 |        644 |                       pydantic_core._pydantic_core
import time:      7414 |       7414 |                       pydantic_core.core_schema
import time:       794 |       8851 |                     pydantic_core
import time:       345 |       9196 |                   pydantic.version
import time:       368 |       9563 |                 pydantic.warnings
import time:       440 |      10003 |               pydantic._migration
import time:       557 |        557 |                   typing_inspection
import time:      1303 |       1303 |                   typing_inspection.typing_objects
import time:       904 |       2763 |                 typing_inspection.introspection
import time:       483 |        483 |                 pydantic._internal
import time:       619 |        619 |                     pydantic._internal._namespace_utils
import time:       679 |       1298 |                   pydantic._internal._typing_extra
import time:       449 |       1747 |                 pydantic._internal._repr
import time:       700 |       5691 |               pydantic.errors
import time:       487 |      16180 |             pydantic
import time:       362 |        362 |                 pydantic._internal._internal_dataclass
import time:      1047 |       1408 |               pydantic.aliases
import time:      1029 |       1029 |               pydantic.config
import time:       993 |       3430 |             pydantic._internal._config
import time:       438 |        438 |               pydantic._internal._core_utils
import time:       335 |        335 |                 pydantic._internal._import_utils
import time:      1070 |       1405 |               pydantic._internal._utils
import time:      2531 |       4374 |             pydantic._internal._decorators
import time:       584 |        584 |                 pydantic._internal._forward_ref
import time:       571 |       1155 |               pydantic._internal._generics
import time:       445 |        445 |               pydantic._internal._docs_extraction
import time:       905 |       2505 |             pydantic._internal._fields
import time:       594 |        594 |                 pydantic.plugin
import time:       487 |       1080 |               pydantic.plugin._schema_validator
import time:       489 |       1569 |             pydantic._internal._mock_val_ser
import time:       886 |        886 |                     sysconfig
import time:       826 |       1711 |                   zoneinfo._tzpath
import time:       380 |        380 |                   zoneinfo._common
import time:       441 |        441 |                   _zoneinfo
import time:       459 |       2989 |                 zoneinfo
import time:       316 |        316 |                 pydantic.annotated_handlers
import time:      2715 |       2715 |                 pydantic.functional_validators
import time:       462 |        462 |                   pydantic._internal._core_metadata
import time:       500 |        500 |                   pydantic._internal._schema_generation_shared
import time:      1756 |       2718 |                 pydantic.json_schema
import time:       749 |        749 |                 pydantic._internal._discriminated_union
import time:       533 |        533 |                 pydantic._internal._known_annotated_metadata
import time:      1079 |       1079 |                 pydantic._internal._schema_gather
import time:      1313 |      12408 |               pydantic._internal._generate_schema
import time:       370 |        370 |               pydantic._internal._signature
import time:       756 |      13533 |             pydantic._internal._model_construction
import time:      1577 |       1577 |               http
import time:       740 |       2317 |             starlette.exceptions
import time:      5695 |       5695 |               annotated_types
import time:       684 |        684 |               pydantic._internal._validators
import time:      4401 |       4401 |               pydantic.types
import time:      1727 |      12506 |             pydantic.fields
import time:       466 |        466 |             pydantic.plugin._loader
import time:      8776 |      65651 |           fastapi.exceptions
import time:       405 |        405 |             fastapi.openapi
import time:       329 |        329 |                 fastapi.types
import time:       444 |        444 |                   shlex
import time:       348 |        348 |                   starlette.concurrency
import time:       269 |        269 |                   starlette.types
import time:      1205 |       2265 |                 starlette.datastructures
import time:       401 |       2993 |               fastapi._compat.shared
import time:       258 |        258 |                 fastapi.openapi.constants
import time:      1301 |       1558 |               fastapi._compat.v2
import time:       330 |       4881 |             fastapi._compat
import time:       442 |        442 |             fastapi.logger
import time:       159 |        159 |             email_validator
import time:     48428 |      54313 |           fastapi.openapi.models
import time:       609 |        609 |           fastapi.datastructures
import time:      2037 |     122608 |         fastapi.params
import time:       462 |        462 |           fastapi.dependencies
import time:       312 |        312 |                 fastapi.security.base
import time:      1149 |       1149 |                   http.cookies
import time:       704 |        704 |                   starlette._utils
import time:       146 |        146 |                     python_multipart
import time:        95 |         95 |                     multipart
import time:      1086 |       1326 |                   starlette.formparsers
import time:       132 |        132 |                     python_multipart
import time:        22 |        154 |                   python_multipart.multipart
import time:        96 |         96 |                     multipart
import time:        14 |        110 |                   multipart.multipart
import time:       550 |       3990 |                 starlette.requests
import time:       459 |       4760 |               fastapi.security.api_key
import time:       345 |        345 |                 fastapi.security.utils
import time:      1091 |       1435 |               fastapi.security.http
import time:      1605 |       1605 |                 fastapi.param_functions
import time:       881 |       2485 |               fastapi.security.oauth2
import time:       469 |        469 |               fastapi.security.open_id_connect_url
import time:       374 |       9522 |             fastapi.security
import time:        30 |       9552 |           fastapi.security.base
import time:      1310 |      11323 |         fastapi.dependencies.models
import time:       275 |        275 |             starlette.background
import time:       365 |        640 |           fastapi.background
import time:       351 |        351 |           fastapi.concurrency
import time:       344 |        344 |           fastapi.utils
import time:      1332 |       1332 |               _hashlib
import time:        94 |         94 |               _blake2
import time:       666 |       2091 |             hashlib
