import time: self [us] | cumulative | imported package
import time:       498 |        824 |                 pandas.core.groupby.grouper
import time:       727 |       1550 |               pandas.core.groupby.ops
import time:       447 |        447 |               pandas.core.groupby.indexing
import time:      1412 |       5149 |             pandas.core.groupby.groupby
import time:      1306 |      55053 |           pandas.core.groupby.generic
import time:       382 |      55434 |         pandas.core.groupby
import time:       487 |     104616 |       pandas.core.api
import time:       383 |        383 |       pandas.tseries.api
import time:       354 |        354 |               pandas.core.computation.common
import time:       394 |        748 |             pandas.core.computation.align
import time:       581 |        581 |                 pprint
import time:       396 |        977 |               pandas.core.computation.scope
import time:       552 |       1528 |             pandas.core.computation.ops
import time:       376 |       2650 |           pandas.core.computation.engines
import time:       404 |        404 |             pandas.core.computation.parsing
import time:       929 |       1332 |           pandas.core.computation.expr
import time:       374 |       4355 |         pandas.core.computation.eval
import time:       321 |       4676 |       pandas.core.computation.api
import time:       393 |        393 |         pandas.core.reshape.encoding
import time:       827 |        827 |         pandas.core.reshape.merge
import time:       501 |        501 |         pandas.core.reshape.pivot
import time:       426 |        426 |         pandas.core.reshape.tile
import time:       424 |       2570 |       pandas.core.reshape.api
import time:       335 |        335 |         pandas.api.executors
import time:       379 |        379 |         pandas.api.extensions
import time:       266 |        266 |         pandas.api.indexers
import time:       418 |        418 |             pandas.core.interchange
import time:       872 |       1289 |           pandas.core.interchange.dataframe_protocol
import time:       433 |        433 |             pandas.core.interchange.utils
import time:       540 |        972 |           pandas.core.interchange.from_dataframe
import time:       251 |       2512 |         pandas.api.interchange
import time:       284 |        284 |           pandas.core.dtypes.api
import time:       356 |        639 |         pandas.api.types
import time:       794 |        794 |           pandas.core.resample
import time:       290 |        290 |                 pandas._libs.json
import time:       428 |        428 |                 pandas.io.json._normalize
import time:       413 |        413 |                 pandas.io.json._table_schema
import time:       514 |        514 |                       pandas._libs.parsers
import time:       882 |        882 |                         pandas.io.parsers.base_parser
import time:       387 |       1269 |                       pandas.io.parsers.arrow_parser_wrapper
import time:       539 |        539 |                       pandas.io.parsers.c_parser_wrapper
import time:       756 |        756 |                       pandas.io.parsers.python_parser
import time:       853 |       3930 |                     pandas.io.parsers.readers
import time:       513 |       4442 |                   pandas.io.parsers
import time:        25 |       4467 |                 pandas.io.parsers.readers
import time:       807 |       6403 |               pandas.io.json._json
import time:       333 |       6735 |             pandas.io.json
import time:        22 |       6757 |           pandas.io.json._json
import time:       462 |        462 |               pandas.io.sas.sasreader
import time:       498 |        960 |             pandas.io.sas
import time:        24 |        984 |           pandas.io.sas.sasreader
import time:      1300 |       1300 |           pandas.io.stata
import time:       365 |      10198 |         pandas.api.typing
import time:       377 |      14704 |       pandas.api
import time:       411 |        411 |               _queue
import time:       493 |        903 |             queue
import time:       609 |       1511 |           concurrent.futures.thread
import time:       497 |        497 |           pandas._testing._io
import time:       428 |        428 |           pandas._testing._warnings
import time:        48 |         48 |               cmath
import time:       459 |        507 |             pandas._libs.testing
import time:       598 |       1104 |           pandas._testing.asserters
import time:       346 |        346 |           pandas._testing.compat
import time:       440 |        440 |           pandas._testing.contexts
import time:       778 |       5101 |         pandas._testing
import time:       678 |       5779 |       pandas.testing
import time:       407 |        407 |       pandas.util._print_versions
import time:       353 |        353 |         pandas.io.clipboards
import time:       323 |        323 |             pandas.io.excel._util
import time:       498 |        498 |             pandas.io.excel._calamine
import time:       519 |        519 |             pandas.io.excel._odfreader
import time:       637 |        637 |             pandas.io.excel._openpyxl
import time:       394 |        394 |             pandas.io.excel._pyxlsb
import time:       447 |        447 |             pandas.io.excel._xlrd
import time:       714 |       3529 |           pandas.io.excel._base
import time:       513 |        513 |           pandas.io.excel._odswriter
import time:       387 |        387 |           pandas.io.excel._xlsxwriter
import time:       351 |       4778 |         pandas.io.excel
import time:       352 |        352 |         pandas.io.feather_format
import time:       647 |        647 |         pandas.io.html
import time:       342 |        342 |         pandas.io.iceberg
import time:       390 |        390 |         pandas.io.orc
import time:       458 |        458 |         pandas.io.parquet
import time:       408 |        408 |           pandas.compat.pickle_compat
import time:       356 |        764 |         pandas.io.pickle
import time:       817 |        817 |           pandas.core.computation.pytables
import time:      2308 |       3125 |         pandas.io.pytables
import time:       509 |        509 |         pandas.io.spss
import time:       898 |        898 |         pandas.io.sql
import time:       533 |        533 |         pandas.io.xml
import time:       421 |      13564 |       pandas.io.api
import time:       338 |        338 |       pandas.util._tester
import time:       345 |        345 |       pandas._version_meson
import time:       644 | 1297901301 |     pandas
import time:       298 |        298 |       aicbc.analysis.engines
import time:      1430 |       1728 |     aicbc.analysis.engines.hb_engine
import time:      8517 |       8517 |     aicbc.analysis.models
import time:       385 |        385 |           aicbc.questionnaire
import time:       418 |        802 |         aicbc.questionnaire.design
import time:      5854 |       5854 |         aicbc.questionnaire.models
import time:       424 |       7079 |       aicbc.questionnaire.design.effects_coding
import time:      3986 |       3986 |       aicbc.questionnaire.response_models
import time:       613 |      11677 |     aicbc.analysis.preprocessing
import time:       491 |        491 |       aicbc.analysis.results
import time:       490 |        981 |     aicbc.analysis.results.importance
import time:       612 |        612 |         scipy.__config__
import time:       320 |        320 |         scipy.version
import time:        68 |         68 |           scipy._distributor_init_local
import time:       343 |        410 |         scipy._distributor_init
import time:       144 |        144 |             cython
import time:       673 |        817 |           scipy._lib._testutils
import time:       390 |       1207 |         scipy._lib
import time:      1164 |       1164 |         scipy._lib._pep440
import time:       485 |        485 |             scipy._cyutility
import time:       530 |       1014 |           scipy._lib._ccallback_c
import time:       493 |       1506 |         scipy._lib._ccallback
import time:       671 |       5887 |       scipy
import time:       476 |        476 |       scipy.stats._warnings_errors
import time:       771 |        771 |                       scipy._lib.array_api_compat.common._typing
import time:       634 |       1405 |                     scipy._lib.array_api_compat.common._helpers
import time:       476 |       1881 |                   scipy._lib.array_api_compat.common
import time:       424 |       2305 |                 scipy._lib.array_api_compat
import time:       404 |        404 |                   scipy._lib.array_api_compat._internal
import time:       497 |        497 |                     numpy.fft._helper
import time:       600 |        600 |                       numpy.fft._pocketfft_umath
import time:      1137 |       1737 |                     numpy.fft._pocketfft
import time:       538 |       2771 |                   numpy.fft
import time:       566 |        566 |                     numpy._core.strings
import time:       407 |        972 |                   numpy.strings
import time:       408 |        408 |                     numpy.f2py.diagnose
import time:       861 |        861 |                         gettext
import time:      1182 |       2043 |                       argparse
import time:       459 |        459 |                       numpy.f2py._backends
import time:       465 |        465 |                       numpy.f2py.__version__
import time:       429 |        429 |                         numpy.f2py.cfuncs
import time:       830 |       1259 |                       numpy.f2py.auxfuncs
import time:      1268 |       1268 |                         numpy.f2py.cb_rules
import time:       420 |        420 |                         numpy.f2py._isocbind
import time:       672 |        672 |                           fileinput
import time:       163 |        163 |                           charset_normalizer
import time:      1106 |       1106 |                           numpy.f2py.symbolic
import time:      6784 |       8724 |                         numpy.f2py.crackfortran
import time:       791 |      11203 |                       numpy.f2py.capi_maps
import time:       431 |        431 |                         numpy.f2py.func2subr
import time:       772 |       1202 |                       numpy.f2py.f90mod_rules
import time:       665 |        665 |                         numpy.f2py.common_rules
import time:       498 |        498 |                         numpy.f2py.use_rules
import time:      3273 |       4435 |                       numpy.f2py.rules
import time:       601 |      21662 |                     numpy.f2py.f2py2e
import time:       366 |      22436 |                   numpy.f2py
import time:       456 |        456 |                         unittest.util
import time:       798 |       1254 |                       unittest.result
import time:      1050 |       1050 |                         difflib
import time:       742 |       1792 |                       unittest.case
import time:       529 |        529 |                       unittest.suite
import time:       827 |        827 |                       unittest.loader
import time:       354 |        354 |                           unittest.signals
import time:       543 |        896 |                         unittest.runner
import time:       694 |       1590 |                       unittest.main
import time:       552 |       6541 |                     unittest
import time:       425 |        425 |                     numpy.testing._private
import time:       550 |        550 |                     numpy.testing.overrides
import time:       492 |        492 |                     numpy.testing._private.extbuild
import time:        59 |         59 |                       gc
import time:      1579 |       1638 |                     numpy.testing._private.utils
import time:       671 |      10314 |                   numpy.testing
import time:       870 |        870 |                       numpy.polynomial.polyutils
import time:       547 |        547 |                       numpy.polynomial._polybase
import time:       713 |       2129 |                     numpy.polynomial.chebyshev
import time:       585 |        585 |                     numpy.polynomial.hermite
import time:       628 |        628 |                     numpy.polynomial.hermite_e
import time:       439 |        439 |                     numpy.polynomial.laguerre
import time:       446 |        446 |                     numpy.polynomial.legendre
import time:       456 |        456 |                     numpy.polynomial.polynomial
import time:       521 |       5201 |                   numpy.polynomial
import time:       571 |        571 |                     numpy.core._utils
import time:       456 |       1027 |                   numpy.core
import time:       343 |        343 |                   numpy.rec
import time:       777 |        777 |                     numpy.ctypeslib._ctypeslib
import time:       392 |       1168 |                   numpy.ctypeslib
import time:       564 |        564 |                     numpy._core.defchararray
import time:       341 |        904 |                   numpy.char
import time:       898 |        898 |                     scipy._lib.array_api_compat.common._aliases
import time:       531 |        531 |                     scipy._lib.array_api_compat.numpy._typing
import time:      1709 |       3137 |                   scipy._lib.array_api_compat.numpy._aliases
import time:       448 |        448 |                   scipy._lib.array_api_compat.numpy._info
import time:       809 |        809 |                     scipy._lib.array_api_compat.common._linalg
import time:       786 |       1595 |                   scipy._lib.array_api_compat.numpy.linalg
import time:       373 |        373 |                     scipy._lib.array_api_compat.common._fft
import time:       723 |       1096 |                   scipy._lib.array_api_compat.numpy.fft
import time:       915 |      52726 |                 scipy._lib.array_api_compat.numpy
import time:       314 |        314 |                       scipy._lib.array_api_extra._lib
import time:       549 |        549 |                           scipy._lib.array_api_extra._lib._utils
import time:       327 |        327 |                                 scipy._lib._sparse
import time:       457 |        783 |                               scipy._lib._array_api_override
import time:       333 |       1115 |                             scipy._lib._array_api_compat_vendor
import time:       438 |       1553 |                           scipy._lib.array_api_extra._lib._utils._compat
import time:       318 |        318 |                             scipy._lib.array_api_extra._lib._utils._typing
import time:       735 |       1052 |                           scipy._lib.array_api_extra._lib._utils._helpers
import time:       550 |       3704 |                         scipy._lib.array_api_extra._lib._at
import time:       498 |       4201 |                       scipy._lib.array_api_extra._lib._funcs
import time:       495 |       5010 |                     scipy._lib.array_api_extra._delegation
import time:       377 |        377 |                     scipy._lib.array_api_extra._lib._lazy
import time:       448 |       5835 |                   scipy._lib.array_api_extra
import time:       448 |       6282 |                 scipy._lib.array_api_extra.testing
import time:       667 |        667 |                     pkgutil
import time:      1306 |       1973 |                   pydoc
import time:      1221 |       3193 |                 scipy._lib._docscrape
import time:      1080 |      65583 |               scipy._lib._array_api
import time:      1056 |      66639 |             scipy._lib._util
import time:       746 |      67384 |           scipy.sparse._sputils
import time:       651 |        651 |           scipy.sparse._matrix
import time:       899 |      68933 |         scipy.sparse._base
import time:       408 |        408 |           scipy.sparse._sparsetools
import time:       561 |        561 |             scipy.sparse._data
import time:       441 |        441 |             scipy.sparse._index
import time:       780 |       1781 |           scipy.sparse._compressed
import time:       510 |       2699 |         scipy.sparse._csr
import time:       389 |        389 |         scipy.sparse._csc
import time:       620 |        620 |           scipy.sparse._csparsetools
import time:       666 |       1286 |         scipy.sparse._lil
import time:       657 |        657 |         scipy.sparse._dok
import time:       694 |        694 |         scipy.sparse._coo
import time:       518 |        518 |         scipy.sparse._dia
import time:       547 |        547 |         scipy.sparse._bsr
import time:       381 |        381 |           scipy._lib.deprecation
import time:      1446 |       1827 |         scipy.sparse._construct
import time:       404 |        404 |         scipy.sparse._extract
import time:       398 |        398 |         scipy.sparse._matrix_io
import time:       331 |        331 |         scipy.sparse.base
import time:       351 |        351 |         scipy.sparse.bsr
import time:       303 |        303 |         scipy.sparse.compressed
import time:       296 |        296 |         scipy.sparse.construct
import time:       321 |        321 |         scipy.sparse.coo
import time:       255 |        255 |         scipy.sparse.csc
import time:       266 |        266 |         scipy.sparse.csr
import time:       291 |        291 |         scipy.sparse.data
import time:       294 |        294 |         scipy.sparse.dia
import time:       325 |        325 |         scipy.sparse.dok
import time:       366 |        366 |         scipy.sparse.extract
import time:       320 |        320 |         scipy.sparse.lil
import time:       323 |        323 |         scipy.sparse.sparsetools
import time:       278 |        278 |         scipy.sparse.sputils
import time:       718 |        718 |             scipy.spatial._ckdtree
import time:       544 |       1261 |           scipy.spatial._kdtree
import time:       379 |        379 |             scipy._lib.messagestream
import time:      1207 |       1207 |                     scipy.linalg._fblas
import time:        58 |         58 |                     scipy.linalg._cblas
import time:       489 |       1754 |                   scipy.linalg.blas
import time:       937 |        937 |                     scipy.linalg._flapack
import time:        54 |         54 |                     scipy.linalg._clapack
import time:       986 |       1977 |                   scipy.linalg.lapack
import time:       533 |       4263 |                 scipy.linalg._misc
import time:      1366 |       1366 |                   scipy.linalg.cython_lapack
import time:      1079 |       2445 |                 scipy.linalg._cythonized_array_utils
import time:      3028 |       3028 |                   scipy.linalg._decomp
import time:      1746 |       1746 |                   scipy.linalg._decomp_svd
import time:       423 |        423 |                   scipy.linalg._solve_toeplitz
import time:       348 |        348 |                   scipy.linalg._batched_linalg
import time:      2681 |       8223 |                 scipy.linalg._basic
import time:       395 |        395 |                   scipy.linalg._decomp_lu_cython
import time:      1004 |       1398 |                 scipy.linalg._decomp_lu
import time:       916 |        916 |                 scipy.linalg._decomp_ldl
import time:      1058 |       1058 |                 scipy.linalg._decomp_cholesky
import time:      1060 |       1060 |                 scipy.linalg._decomp_qr
import time:      1562 |       1562 |                 scipy.linalg._decomp_qz
import time:      1020 |       1020 |                 scipy.linalg._decomp_schur
import time:       670 |        670 |                 scipy.linalg._decomp_polar
import time:       763 |        763 |                   scipy.linalg._expm_frechet
import time:       485 |        485 |                   scipy.linalg._matfuncs_schur_sqrtm
import time:       410 |        410 |                   scipy.linalg._matfuncs_expm
import time:       289 |        289 |                   scipy.linalg._linalg_pythran
import time:      1640 |       3586 |                 scipy.linalg._matfuncs
import time:      1227 |       1227 |                 scipy.linalg._special_matrices
import time:      1143 |       1143 |                 scipy.linalg._solvers
import time:      1106 |       1106 |                 scipy.linalg._procrustes
import time:       490 |        490 |                   scipy.linalg.cython_blas
import time:      1784 |       2273 |                 scipy.linalg._decomp_update
import time:       866 |        866 |                 scipy.linalg._sketches
import time:       513 |        513 |                 scipy.linalg._decomp_cossin
import time:       325 |        325 |                 scipy.linalg.decomp
import time:       358 |        358 |                 scipy.linalg.decomp_cholesky
import time:       315 |        315 |                 scipy.linalg.decomp_lu
import time:       295 |        295 |                 scipy.linalg.decomp_qr
import time:       294 |        294 |                 scipy.linalg.decomp_svd
import time:       316 |        316 |                 scipy.linalg.decomp_schur
import time:       387 |        387 |                 scipy.linalg.basic
import time:       423 |        423 |                 scipy.linalg.misc
import time:       416 |        416 |                 scipy.linalg.special_matrices
import time:       336 |        336 |                 scipy.linalg.matfuncs
import time:       921 |      37703 |               scipy.linalg
import time:        20 |      37722 |             scipy.linalg.cython_lapack
import time:      1723 |      39824 |           scipy.spatial._qhull
import time:       344 |        344 |             scipy.spatial._voronoi
import time:       419 |        762 |           scipy.spatial._spherical_voronoi
import time:       396 |        396 |           scipy.spatial._plotutils
import time:       308 |        308 |           scipy.spatial._procrustes
import time:       583 |        583 |                 scipy.special._sf_error
import time:       369 |        369 |                   scipy.special._ufuncs_cxx
import time:       300 |        300 |                   scipy.special._ellip_harm_2
import time:       841 |        841 |                   scipy.special._special_ufuncs
import time:       439 |        439 |                   scipy.special._gufuncs
import time:      1101 |       3048 |                 scipy.special._ufuncs
import time:       590 |        590 |                   scipy.special._input_validation
import time:       551 |        551 |                   scipy.special._specfun
import time:       294 |        294 |                   scipy.special._comb
import time:      1070 |       2504 |                 scipy.special._basic
import time:       304 |        304 |                   scipy.special._spfun_stats
import time:     18929 |      19233 |                 scipy.special._support_alternative_backends
import time:      1283 |       1283 |                 scipy.special._logsumexp
import time:       777 |        777 |                 scipy.special._multiufuncs
import time:       683 |        683 |                 scipy.special._orthogonal
import time:       370 |        370 |                 scipy.special._ellip_harm
import time:       428 |        428 |                 scipy.special._lambertw
import time:       370 |        370 |                 scipy.special._spherical_bessel
import time:       350 |        350 |                 scipy.special.add_newdocs
import time:       415 |        415 |                 scipy.special.basic
import time:       453 |        453 |                 scipy.special.orthogonal
import time:       367 |        367 |                 scipy.special.specfun
import time:       282 |        282 |                 scipy.special.sf_error
import time:       278 |        278 |                 scipy.special.spfun_stats
import time:       801 |      32217 |               scipy.special
import time:       414 |        414 |               scipy.spatial._hausdorff
import time:       462 |        462 |               scipy.spatial._distance_pybind
import time:       281 |        281 |               scipy.spatial._distance_wrap
import time:      2098 |      35470 |             scipy.spatial.distance
import time:       397 |      35866 |           scipy.spatial._geometric_slerp
import time:       641 |        641 |           scipy.spatial.ckdtree
import time:       367 |        367 |           scipy.spatial.kdtree
import time:       289 |        289 |           scipy.spatial.qhull
import time:       665 |        665 |               scipy.spatial.transform._rotation_cy
import time:       611 |        611 |               scipy.spatial.transform._rotation_xp
import time:      3295 |       3295 |                   scipy.constants._codata
import time:       981 |        981 |                   scipy.constants._constants
import time:       377 |        377 |                   scipy.constants.codata
import time:       350 |        350 |                   scipy.constants.constants
import time:       866 |       5868 |                 scipy.constants
import time:       323 |       6190 |               scipy.spatial.transform._rotation_groups
import time:      6003 |      13468 |             scipy.spatial.transform._rotation
import time:       440 |        440 |               scipy.spatial.transform._rigid_transform_cy
import time:       447 |        447 |               scipy.spatial.transform._rigid_transform_xp
import time:      3916 |       4802 |             scipy.spatial.transform._rigid_transform
import time:       601 |        601 |             scipy.spatial.transform._rotation_spline
import time:       414 |        414 |             scipy.spatial.transform.rotation
import time:       348 |      19631 |           scipy.spatial.transform
import time:       503 |      99843 |         scipy.spatial
import time:       503 |        503 |                   scipy.sparse.linalg._interface
import time:       350 |        350 |                   scipy.sparse.linalg._isolve.utils
import time:       410 |       1262 |                 scipy.sparse.linalg._isolve.iterative
import time:       372 |        372 |                 scipy.sparse.linalg._isolve.minres
import time:       261 |        261 |                   scipy.sparse.linalg._isolve._gcrotmk
import time:       302 |        563 |                 scipy.sparse.linalg._isolve.lgmres
import time:       255 |        255 |                 scipy.sparse.linalg._isolve.lsqr
import time:       283 |        283 |                 scipy.sparse.linalg._isolve.lsmr
import time:       248 |        248 |                 scipy.sparse.linalg._isolve.tfqmr
import time:       479 |       3459 |               scipy.sparse.linalg._isolve
import time:       540 |        540 |                   scipy.sparse.linalg._dsolve._superlu
import time:       137 |        137 |                     scikits
import time:        22 |        159 |                   scikits.umfpack
import time:       410 |       1107 |                 scipy.sparse.linalg._dsolve.linsolve
import time:       340 |        340 |                 scipy.sparse.linalg._dsolve._add_newdocs
import time:       267 |       1714 |               scipy.sparse.linalg._dsolve
import time:       458 |        458 |                     scipy.sparse.linalg._eigen.arpack._arpacklib
import time:       860 |       1318 |                   scipy.sparse.linalg._eigen.arpack.arpack
import time:       339 |       1656 |                 scipy.sparse.linalg._eigen.arpack
import time:       361 |        361 |                   scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       309 |        670 |                 scipy.sparse.linalg._eigen.lobpcg
import time:       447 |        447 |                     scipy.sparse.linalg._propack
import time:       409 |        856 |                   scipy.sparse.linalg._svdp
import time:      1283 |       2138 |                 scipy.sparse.linalg._eigen._svds
import time:       402 |       4864 |               scipy.sparse.linalg._eigen
import time:       304 |        304 |                   scipy.sparse.linalg._onenormest
import time:       487 |        791 |                 scipy.sparse.linalg._expm_multiply
import time:       652 |       1443 |               scipy.sparse.linalg._matfuncs
import time:       300 |        300 |               scipy.sparse.linalg._norm
import time:       366 |        366 |               scipy.sparse.linalg._funm_multiply_krylov
import time:       632 |        632 |               scipy.sparse.linalg._special_sparse_arrays
import time:       310 |        310 |               scipy.sparse.linalg.isolve
import time:       272 |        272 |               scipy.sparse.linalg.dsolve
import time:       252 |        252 |               scipy.sparse.linalg.interface
import time:       280 |        280 |               scipy.sparse.linalg.eigen
import time:       302 |        302 |               scipy.sparse.linalg.matfuncs
import time:       470 |      14658 |             scipy.sparse.linalg
import time:       382 |        382 |               scipy.optimize._dcsrch
import time:       474 |        855 |             scipy.optimize._linesearch
import time:       357 |        357 |               scipy.optimize._group_columns
import time:       421 |        778 |             scipy.optimize._numdiff
import time:       533 |        533 |               scipy.optimize._hessian_update_strategy
import time:       440 |        973 |             scipy.optimize._differentiable_functions
import time:      2005 |      19266 |           scipy.optimize._optimize
import time:       311 |        311 |               scipy.optimize._trustregion
import time:       354 |        664 |             scipy.optimize._trustregion_dogleg
import time:       253 |        253 |             scipy.optimize._trustregion_ncg
import time:       407 |        407 |                 scipy.optimize._trlib._trlib
import time:       289 |        695 |               scipy.optimize._trlib
import time:       251 |        946 |             scipy.optimize._trustregion_krylov
import time:       313 |        313 |             scipy.optimize._trustregion_exact
import time:       429 |        429 |                 scipy.optimize._constraints
import time:       143 |        143 |                       sksparse
import time:        23 |        166 |                     sksparse.cholmod
import time:       314 |        479 |                   scipy.optimize._trustregion_constr.projections
import time:       321 |        321 |                   scipy.optimize._trustregion_constr.qp_subproblem
import time:       349 |       1148 |                 scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       381 |        381 |                 scipy.optimize._trustregion_constr.canonical_constraint
import time:       392 |        392 |                 scipy.optimize._trustregion_constr.tr_interior_point
import time:       293 |        293 |                 scipy.optimize._trustregion_constr.report
import time:       531 |       3173 |               scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:       241 |       3414 |             scipy.optimize._trustregion_constr
import time:       437 |        437 |               scipy.optimize._lbfgsb
import time:       504 |        940 |             scipy.optimize._lbfgsb_py
import time:       320 |        320 |               scipy.optimize._moduleTNC
import time:       387 |        707 |             scipy.optimize._tnc
import time:       358 |        358 |             scipy.optimize._cobyla_py
import time:       378 |        378 |             scipy.optimize._cobyqa_py
import time:       487 |        487 |               scipy.optimize._slsqplib
import time:       471 |        957 |             scipy.optimize._slsqp_py
import time:       528 |       9456 |           scipy.optimize._minimize
import time:       345 |        345 |               scipy.optimize._minpack
import time:       337 |        337 |                     scipy.optimize._lsq.common
import time:       354 |        691 |                   scipy.optimize._lsq.trf
import time:       399 |        399 |                   scipy.optimize._lsq.dogbox
import time:       606 |       1695 |                 scipy.optimize._lsq.least_squares
import time:       331 |        331 |                     scipy.optimize._lsq.givens_elimination
import time:       475 |        805 |                   scipy.optimize._lsq.trf_linear
import time:       327 |        327 |                   scipy.optimize._lsq.bvls
import time:       417 |       1548 |                 scipy.optimize._lsq.lsq_linear
import time:       316 |       3558 |               scipy.optimize._lsq
import time:       389 |       4291 |             scipy.optimize._minpack_py
import time:       315 |        315 |             scipy.optimize._spectral
import time:      1412 |       1412 |             scipy.optimize._nonlin
import time:       417 |       6434 |           scipy.optimize._root
import time:       247 |        247 |               scipy.optimize._zeros
import time:       597 |        844 |             scipy.optimize._zeros_py
import time:       428 |       1271 |           scipy.optimize._root_scalar
import time:       561 |        561 |           scipy.optimize._nnls
import time:      1229 |       1229 |           scipy.optimize._basinhopping
import time:       289 |        289 |                 scipy.optimize._highspy
import time:      4197 |       4197 |                 scipy.optimize._highspy._core
import time:       627 |        627 |                 scipy.optimize._highspy._highs_options
import time:       573 |       5685 |               scipy.optimize._highspy._highs_wrapper
import time:       380 |       6065 |             scipy.optimize._linprog_highs
import time:       146 |        146 |                             uarray
import time:       338 |        338 |                                 scipy._lib._uarray._uarray
import time:      1232 |       1569 |                               scipy._lib._uarray._backend
import time:       320 |       1889 |                             scipy._lib._uarray
import time:       315 |       2348 |                           scipy._lib.uarray
import time:      6265 |       8613 |                         scipy.fft._basic
import time:      3125 |       3125 |                         scipy.fft._realtransforms
import time:       581 |        581 |                           scipy.fft._fftlog_backend
import time:      1310 |       1891 |                         scipy.fft._fftlog
import time:       428 |        428 |                               scipy.fft._pocketfft.pypocketfft
import time:       570 |        570 |                               scipy.fft._pocketfft.helper
import time:       431 |       1429 |                             scipy.fft._pocketfft.basic
import time:       353 |        353 |                             scipy.fft._pocketfft.realtransforms
import time:       352 |       2133 |                           scipy.fft._pocketfft
import time:     22395 |      24527 |                         scipy.fft._helper
import time:       469 |        469 |                           scipy.fft._basic_backend
import time:       305 |        305 |                           scipy.fft._realtransforms_backend
import time:      1278 |       2051 |                         scipy.fft._backend
import time:       481 |      40685 |                       scipy.fft
import time:       566 |      41251 |                     scipy.linalg._decomp_interpolative
import time:       417 |      41668 |                   scipy.linalg.interpolative
import time:       390 |      42057 |                 scipy.optimize._remove_redundancy
import time:       599 |      42656 |               scipy.optimize._linprog_util
import time:       176 |        176 |               sksparse
import time:       179 |        179 |                 scikits
import time:        19 |        197 |               scikits.umfpack
import time:       562 |      43590 |             scipy.optimize._linprog_ip
import time:       712 |        712 |             scipy.optimize._linprog_simplex
import time:       648 |        648 |               scipy.optimize._bglu_dense
import time:       508 |       1156 |             scipy.optimize._linprog_rs
import time:       433 |        433 |             scipy.optimize._linprog_doc
import time:       616 |      52569 |           scipy.optimize._linprog
import time:       328 |        328 |           scipy.optimize._lsap
import time:      2000 |       2000 |           scipy.optimize._differentialevolution
import time:       366 |        366 |             scipy.optimize._pava_pybind
import time:       434 |        800 |           scipy.optimize._isotonic
import time:       385 |        385 |               scipy.optimize._shgo_lib
import time:       511 |        511 |               scipy.optimize._shgo_lib._vertex
import time:       647 |       1542 |             scipy.optimize._shgo_lib._complex
import time:       578 |       2120 |           scipy.optimize._shgo
import time:      1097 |       1097 |           scipy.optimize._dual_annealing
import time:       675 |        675 |           scipy.optimize._qap
import time:       447 |        447 |             scipy.optimize._direct
import time:       578 |       1024 |           scipy.optimize._direct_py
import time:       413 |        413 |           scipy.optimize._milp
import time:       328 |        328 |           scipy.optimize.cobyla
import time:       309 |        309 |           scipy.optimize.lbfgsb
import time:       296 |        296 |           scipy.optimize.linesearch
import time:       312 |        312 |           scipy.optimize.minpack
import time:       244 |        244 |           scipy.optimize.minpack2
import time:       241 |        241 |           scipy.optimize.moduleTNC
import time:       257 |        257 |           scipy.optimize.nonlin
import time:       266 |        266 |           scipy.optimize.optimize
import time:       615 |        615 |           scipy.optimize.slsqp
import time:       393 |        393 |           scipy.optimize.tnc
import time:       344 |        344 |           scipy.optimize.zeros
import time:       706 |     103542 |         scipy.optimize
import time:       434 |        434 |             scipy._lib.doccer
import time:       347 |        347 |             scipy.stats._distr_params
import time:      3028 |       3028 |             scipy.integrate._quadrature
import time:       567 |        567 |               scipy.integrate._odepack
import time:      1072 |       1638 |             scipy.integrate._odepack_py
import time:       314 |        314 |               scipy.integrate._quadpack
import time:      2994 |       3307 |             scipy.integrate._quadpack_py
import time:       487 |        487 |               scipy.integrate._vode
import time:       270 |        270 |               scipy.integrate._dop
import time:       872 |       1628 |             scipy.integrate._ode
import time:      1456 |       1456 |             scipy.integrate._bvp
import time:       371 |        371 |                   scipy.integrate._ivp.common
import time:       342 |        342 |                   scipy.integrate._ivp.base
import time:       411 |       1124 |                 scipy.integrate._ivp.bdf
import time:       523 |        523 |                 scipy.integrate._ivp.radau
import time:       424 |        424 |                   scipy.integrate._ivp.dop853_coefficients
import time:       507 |        930 |                 scipy.integrate._ivp.rk
import time:       398 |        398 |                 scipy.integrate._ivp.lsoda
import time:      1675 |       4649 |               scipy.integrate._ivp.ivp
import time:       457 |       5105 |             scipy.integrate._ivp
import time:       837 |        837 |             scipy.integrate._quad_vec
import time:       412 |        412 |               scipy._lib._elementwise_iterative_method
import time:      2032 |       2444 |             scipy.integrate._tanhsinh
import time:       390 |        390 |                 scipy.integrate._rules._base
import time:       308 |        308 |                 scipy.integrate._rules._genz_malik
import time:       431 |        431 |                   scipy.integrate._rules._gauss_legendre
import time:       363 |        794 |                 scipy.integrate._rules._gauss_kronrod
import time:       364 |       1854 |               scipy.integrate._rules
import time:      2479 |       4332 |             scipy.integrate._cubature
import time:       917 |        917 |             scipy.integrate._lebedev
import time:       312 |        312 |             scipy.integrate.dop
import time:       367 |        367 |             scipy.integrate.lsoda
import time:       305 |        305 |             scipy.integrate.vode
import time:       295 |        295 |             scipy.integrate.odepack
